_dt,location,trend,tweet_volume
2017-08-20T23:00:12.132Z,Cleveland,Joss Whedon,
2017-08-20T23:00:12.164Z,San Diego,Joss Whedon,
2017-08-20T23:00:12.198Z,Charlotte,Joss Whedon,
2017-08-20T23:00:12.241Z,Dallas-Ft. Worth,Joss Whedon,
2017-08-20T23:00:12.331Z,Raleigh,Joss Whedon,
2017-08-20T23:00:12.356Z,Houston,Joss Whedon,
2017-08-20T23:00:12.361Z,Providence,Joss Whedon,
2017-08-20T23:00:12.431Z,Indianapolis,Joss Whedon,
2017-08-20T23:00:12.444Z,Chicago,Joss Whedon,
2017-08-20T23:00:12.463Z,Honolulu,Joss Whedon,
2017-08-20T23:00:12.625Z,Nashville,Joss Whedon,
2017-08-20T23:00:12.655Z,Birmingham,Joss Whedon,
2017-08-20T23:00:12.662Z,New York,Joss Whedon,
2017-08-20T23:00:12.671Z,Belarus,Joss Whedon,
2017-08-20T23:00:12.683Z,Mesa,Joss Whedon,
2017-08-20T23:00:12.697Z,Jacksonville,Joss Whedon,
2017-08-20T23:00:12.712Z,Boston,Joss Whedon,
2017-08-20T23:00:12.742Z,Washington,Joss Whedon,
2017-08-20T23:00:12.747Z,Columbus,Joss Whedon,
2017-08-20T23:00:12.752Z,Miami,Joss Whedon,
2017-08-20T23:00:12.766Z,Philadelphia,Joss Whedon,
2017-08-20T23:00:12.787Z,Greensboro,Joss Whedon,
2017-08-20T23:00:12.839Z,Norfolk,Joss Whedon,
2017-08-20T23:00:12.858Z,Atlanta,Joss Whedon,
2017-08-20T23:00:12.943Z,Tampa,Joss Whedon,
2017-08-20T23:00:13.064Z,New Haven,Joss Whedon,
2017-08-20T23:00:13.086Z,San Antonio,Joss Whedon,
2017-08-20T23:00:13.103Z,Salt Lake City,Joss Whedon,
2017-08-20T23:00:13.166Z,Milwaukee,Joss Whedon,
2017-08-20T23:00:13.189Z,San Jose,Joss Whedon,
2017-08-20T23:00:13.298Z,Virginia Beach,Joss Whedon,
2017-08-20T23:00:13.310Z,Vietnam,Joss Whedon,
2017-08-20T23:00:13.565Z,Seattle,Joss Whedon,
2017-08-20T23:00:13.600Z,Pittsburgh,Joss Whedon,
2017-08-21T00:00:04.101Z,Vancouver,Joss Whedon,10987
2017-08-21T00:00:05.127Z,Edinburgh,Joss Whedon,10987
2017-08-21T00:00:05.391Z,Preston,Joss Whedon,10987
2017-08-21T00:00:05.483Z,Bournemouth,Joss Whedon,10987
2017-08-21T00:00:05.572Z,Coventry,Joss Whedon,10987
2017-08-21T00:00:05.665Z,Toronto,Joss Whedon,10987
2017-08-21T00:00:05.755Z,Stoke-on-Trent,Joss Whedon,10987
2017-08-21T00:00:05.861Z,Nottingham,Joss Whedon,10987
2017-08-21T00:00:06.393Z,Brest,Joss Whedon,10987
2017-08-21T00:00:06.504Z,Portsmouth,Joss Whedon,10987
2017-08-21T00:00:06.552Z,Cardiff,Joss Whedon,10987
2017-08-21T00:00:06.820Z,Birmingham,Joss Whedon,10987
2017-08-21T00:00:07.127Z,Worldwide,Joss Whedon,10987
2017-08-21T00:00:07.261Z,Belfast,Joss Whedon,10987
2017-08-21T00:00:07.423Z,Leeds,Joss Whedon,10987
2017-08-21T00:00:07.720Z,Plymouth,Joss Whedon,10987
2017-08-21T00:00:07.756Z,Bristol,Joss Whedon,10987
2017-08-21T00:00:08.079Z,Middlesbrough,Joss Whedon,10987
2017-08-21T00:00:08.157Z,London,Joss Whedon,10987
2017-08-21T00:00:08.223Z,Leicester,Joss Whedon,10987
2017-08-21T00:00:08.289Z,Glasgow,Joss Whedon,10987
2017-08-21T00:00:08.373Z,Calgary,Joss Whedon,10987
2017-08-21T00:00:08.480Z,Swansea,Joss Whedon,10987
2017-08-21T00:00:08.760Z,Blackpool,Joss Whedon,10987
2017-08-21T00:00:08.902Z,Montreal,Joss Whedon,10987
2017-08-21T00:00:09.016Z,Hull,Joss Whedon,10987
